# 
#
# USGS Parameter Code Definitions File
#
# Column Definitions
#  parameter_cd  - Parameter Code
#  parameter_group_nm  - Group Name
#  parameter_nm  - Parameter Name/Description
#  casrn  - CASRN
#  srsname  - SRSName
#  parameter_units  - Parameter Unit
#
#
# Date Retrieved: 2017-06-14 13:33:26 EDT
#
parameter_cd	parameter_group_nm	parameter_nm	casrn	srsname	parameter_units
90396	Information	Acetazolamide-d3, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90397	Information	Althiazide-d5, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90398	Information	Azithromycin-d3, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90399	Information	Balsalazide-d3, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90401	Information	Bezafibrate-d4, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90402	Information	Bumetanide-d5, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90403	Information	Cetirizine-d8, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90404	Information	Cilostazol-d11, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90405	Information	Ciprofloxacin-13C3, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90406	Information	Diclofenac-d4, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90407	Information	Enalaprilat-d5, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90408	Information	Fluvastatin-d8, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90409	Information	Gliclazide-d4, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90411	Information	Indomethacin-d4, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90412	Information	Irbesartan-d7, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90413	Information	Lincomycin-d3, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90414	Information	Lisinopril-d5, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90415	Information	Losartin-d5, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90416	Information	Meclofenamic acid-d4, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90417	Information	Meloxicam-d3, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90418	Information	Mycophenolic acid-d3, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90419	Information	Niflumic acid-d5, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90420	Information	Nimodipine-d7, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90421	Information	Probenecid-d14, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90422	Information	rac-Ketoprofen-13C-d3, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90423	Information	rac-Ketorolac-d4, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90424	Information	rac-Naproxen-d3, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90425	Information	Simvastatin-d6, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90426	Information	Tolmetin-d3, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90427	Information	Bisphenol A-d16, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90428	Information	Butalbital-d5, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90429	Information	Cefuroxime-d3, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90431	Information	Chlorampenicol-ar-d4, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90432	Information	Chlorothiazide-13C-15N2, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90433	Information	Florfenicol-d3, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90434	Information	Fipronil-13C3-15N2, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90435	Information	Flutamide-d7, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90436	Information	Gemfibrozil-d6, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90437	Information	Hydrochlorothiazide-13C-d2, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90438	Information	Hydrofluromethiazide-13C-d2, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90439	Information	Ibuprofen-13C3, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90441	Information	Nimesulide-d5, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90442	Information	Pentobarbital-d5, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90443	Information	Pravastatin-d3, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90444	Information	Salicylic acid-13C6, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90446	Information	Secobarbital-13C4, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90447	Information	Triclocarban-13C6, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90448	Information	Valproic acid-d6, surrogate, NWQL Pharm3 method, water, filtered, percent recovery			%
90449	Information	1-Bromo-4-fluorobenzene, surrogate, EPA 524.2 VOC schedules, water, unfiltered, percent recovery	460-00-4		%
90450	Information	Dibromofluoromethane, surrogate, EPA 524.2, water, unfiltered, percent recovery	1868-53-7		%
90451	Information	Thiamethoxam-d3 (N-methyl-d3), surrogate, water, filtered, percent recovery	1294048-82-0		%
90452	Information	Clothianidin-d3 (N-methyl-d3), surrogate, water, filtered, percent recovery	1262776-24-8		%
90453	Information	Acetamiprid-13C6, surrogate, water, filtered, percent recovery			%
90454	Information	Fipronil-13C4-15N2, surrogate, water, filtered, percent recovery			%
90455	Information	Triazole-13C2-15N3, surrogate, water, filtered, percent recovery	1261170-82-4		%
90456	Information	Dicamba-13C6, surrogate, water, filtered, percent recovery	1173032-06-7		%
90457	Information	Bentazon-13C10-15N, surrogate, water, filtered, percent recovery			%
90459	Information	2-Octanone, surrogate, water, unfiltered, percent recovery	111-13-7		%
90460	Information	1-Bromo-4-fluorobenzene, surrogate, bed sediment, percent recovery	460-00-4		%
90461	Information	Dibromofluoromethane, surrogate, bed sediment, percent recovery	1868-53-7		%
90462	Information	Toluene-d8, surrogate, bed sediment, percent recovery	2037-26-5		%
90463	Information	1-Bromo-4-fluorobenzene, surrogate, solids, percent recovery	460-00-4		%
90464	Information	Dibromofluoromethane, surrogate, solids, percent recovery	1868-53-7		%
90465	Information	Toluene-d8, surrogate, solids, percent recovery	2037-26-5		%
90466	Information	Testosterone glucuronide, spike, water, filtered, apparent percent recovery	1180-25-2		%
90467	Information	1-Bromo-4-fluorobenzene, surrogate, soil, percent recovery	460-00-4		%
90468	Information	Dibromofluoromethane, surrogate, soil, percent recovery	1868-53-7		%
90469	Information	Toluene-d8, surrogate, soil, percent recovery	2037-26-5		%
90470	Information	(Trifluoromethyl)benzene, gasoline-range organic surrogate, soil, percent recovery	98-08-8		%
90471	Information	1,2-Dichlorobenzene-d4, gasoline-range organic surrogate, soil, percent recovery	2199-69-1		%
90472	Information	1-Bromo-4-fluorobenzene, gasoline-range organic surrogate, soil, percent recovery	460-00-4		%
90473	Information	n-Eicosane (C20), diesel-range organic surrogate, soil, percent recovery	112-95-8		%
90474	Information	Squalene, diesel-range organic surrogate, soil, percent recovery	111-02-4		%
90475	Information	1,2-Dichlorobenzene-d4, gasoline-range organic surrogate, water, unfiltered, percent recovery	2199-69-1		%
90476	Information	n-Eicosane (C20), diesel-range organic surrogate, water, unfiltered, percent recovery	112-95-8		%
90477	Information	Squalene, diesel-range organic surrogate, water, unfiltered, percent recovery	111-02-4		%
90478	Information	1,2-Dichlorobenzene-d4, surrogate, water, filtered, gasoline-range organic compound (GRO) analysis, percent recovery			%
90479	Information	Thiabendazole-d4, isotope dilution standard, polar organic chemical integrative sampler (POCIS), percent recovery			%
90480	Information	Albuterol-d9, isotope dilution standard, polar organic chemical integrative sampler (POCIS), percent recovery	1133418-26-4		%
90481	Information	Diltiazem-d3, isotope dilution standard, polar organic chemical integrative sampler (POCIS), percent recovery			%
90482	Information	Trimethoprim-d9, isotope dilution standard, polar organic chemical integrative sampler (POCIS), percent recovery	1189460-62-5		%
90483	Information	Acetaminophen-d3, isotope dilution standard, polar organic chemical integrative sampler (POCIS), percent recovery	60902-28-5		%
90484	Information	Norfluoxetine-d6, isotope dilution standard, polar organic chemical integrative sampler (POCIS), percent recovery			%
90485	Information	Methadone-d9, isotope dilution standard, polar organic chemical integrative sampler (POCIS), percent recovery			%
90486	Information	Oxycodone-d3, isotope dilution standard, polar organic chemical integrative sampler (POCIS), percent recovery			%
90487	Information	Hydrocodone-d3, isotope dilution standard, polar organic chemical integrative sampler (POCIS), percent recovery	136765-36-1		%
90488	Information	Temazepam-d5, isotope dilution standard, polar organic chemical integrative sampler (POCIS), percent recovery	136765-51-0		%
90489	Information	Caffeine-(trimethyl-13C3), isotope dilution standard, polar organic chemical integrative sampler (POCIS), percent recovery	78072-66-9		%
90490	Information	Sulfamethoxazole-(phenyl-13C6), isotope dilution standard, polar organic chemical integrative sampler (POCIS), percent recovery	1196157-90-0		%
90491	Information	Cotinine-d3, isotope dilution standard, polar organic chemical integrative sampler (POCIS), percent recovery	110952-70-0		%
90492	Information	Amphetamine-d6, isotope dilution standard, polar organic chemical integrative sampler (POCIS), percent recovery	73758-26-6		%
90493	Information	Codeine-d6, isotope dilution standard, polar organic chemical integrative sampler (POCIS), percent recovery	371151-94-9		%
90494	Information	Pseudoephedrine-d3, isotope dilution standard, polar organic chemical integrative sampler (POCIS), percent recovery			%
90495	Information	Diphenhydramine-d3, isotope dilution standard, polar organic chemical integrative sampler (POCIS), percent recovery			%
90496	Information	Fluoxetine-d6, isotope dilution standard, polar organic chemical integrative sampler (POCIS), percent recovery			%
90497	Information	Diazepam-d5, isotope dilution standard, polar organic chemical integrative sampler (POCIS), percent recovery	65854-76-4		%
90498	Information	Bisphenol A-d16, isotope dilution standard, polar organic chemical integrative sampler (POCIS), percent recovery	96210-87-6		%
90499	Information	Bisphenol A-d16, isotope dilution standard, water, unfiltered, NWQL schedule 4434, percent recovery	96210-87-6		%
90500	Information	1-Bromo-3-chloropropane, surrogate, NWQL VOC-SIM method, water, unfiltered, percent recovery	109-70-6		%
90501	Information	1,4-Dibromobenzene, surrogate, NWQL schedules 1383/1385, water, unfiltered, percent recovery	106-37-6		%
90502	Information	1,4-Dibromobenzene, surrogate, NWQL schedule 1394, water, unfiltered, percent recovery	106-37-6		%
90503	Information	1,4-Dibromobenzene, surrogate, NWQL schedules 1384/1386, bed sediment, percent recovery	106-37-6		%
90504	Information	alpha-HCH-d6, surrogate, NWQL schedule 1325, bed sediment, percent recovery	86194-41-4		%
90505	Information	alpha-HCH-d6, surrogate, NWQL schedule 1379, water, filtered, percent recovery	86194-41-4		%
90506	Information	1-Bromo-4-fluorobenzene, surrogate, NWQL schedule 1401, water, unfiltered, percent recovery	460-00-4		%
90507	Information	1-Bromo-4-fluorobenzene, surrogate, NWQL schedule 1401, VOC-SIM method, water, unfiltered, percent recovery	460-00-4		%
90508	Information	1,2-Dichloroethane-d4, surrogate, NWQL schedule 1401, water, unfiltered, percent recovery	17060-07-0		%
90509	Information	cis-Androsterone-2,2,3,4,4-d5, isotope dilution standard, water, unfiltered, percent recovery			%
